Giorno;00:00-00:15;00:15-00:30;00:30-00:45;00:45-01:00;01:00-01:15;01:15-01:30;01:30-01:45;01:45-02:00;02:00-02:15;02:15-02:30;02:30-02:45;02:45-03:00;03:00-03:15;03:15-03:30;03:30-03:45;03:45-04:00;04:00-04:15;04:15-04:30;04:30-04:45;04:45-05:00;05:00-05:15;05:15-05:30;05:30-05:45;05:45-06:00;06:00-06:15;06:15-06:30;06:30-06:45;06:45-07:00;07:00-07:15;07:15-07:30;07:30-07:45;07:45-08:00;08:00-08:15;08:15-08:30;08:30-08:45;08:45-09:00;09:00-09:15;09:15-09:30;09:30-09:45;09:45-10:00;10:00-10:15;10:15-10:30;10:30-10:45;10:45-11:00;11:00-11:15;11:15-11:30;11:30-11:45;11:45-12:00;12:00-12:15;12:15-12:30;12:30-12:45;12:45-13:00;13:00-13:15;13:15-13:30;13:30-13:45;13:45-14:00;14:00-14:15;14:15-14:30;14:30-14:45;14:45-15:00;15:00-15:15;15:15-15:30;15:30-15:45;15:45-16:00;16:00-16:15;16:15-16:30;16:30-16:45;16:45-17:00;17:00-17:15;17:15-17:30;17:30-17:45;17:45-18:00;18:00-18:15;18:15-18:30;18:30-18:45;18:45-19:00;19:00-19:15;19:15-19:30;19:30-19:45;19:45-20:00;20:00-20:15;20:15-20:30;20:30-20:45;20:45-21:00;21:00-21:15;21:15-21:30;21:30-21:45;21:45-22:00;22:00-22:15;22:15-22:30;22:30-22:45;22:45-23:00;23:00-23:15;23:15-23:30;23:30-23:45;23:45-00:00;
"11/02/2022";"0,057";"0,046";"0,048";"0,05";"0,044";"0,032";"0,018";"0,01";"0,017";"0,012";"0,037";"0,046";"0,019";"0,01";"0,021";"0,008";"0,01";"0,014";"0,013";"0,038";"0,031";"0,004";"0,011";"0,008";"0,004";"0,012";"0,008";"0,003";"0,013";"0,017";"0,033";"0,029";"0,005";"0,004";"0,015";"0,006";"0,003";"0,015";"0,005";"0,004";"0,014";"0,011";"0,033";"0,031";"0,009";"0,335";"0,109";"0,185";"0,362";"0,135";"0,005";"0,004";"0,015";"0,008";"0,004";"0,008";"0,016";"0,004";"0,004";"0,012";"0,011";"0,004";"0,005";"0,015";"0,007";"0,004";"0,004";"0,018";"0,004";"0,004";"0,008";"0,015";"0,004";"0,004";"0,009";"0,017";"0,054";"0,529";"0,569";"0,177";"0,056";"0,216";"0,1";"0,063";"0,077";"0,075";"0,047";"0,066";"0,034";"0,021";"0,028";"0,055";"0,031";"0,016";"0,024";"0,014";
"12/02/2022";"0,014";"0,026";"0,014";"0,015";"0,034";"0,032";"0,008";"0,015";"0,004";"0,003";"0,016";"0,004";"0,004";"0,013";"0,005";"0,004";"0,01";"0,01";"0,003";"0,005";"0,015";"0,004";"0,003";"0,014";"0,006";"0,004";"0,007";"0,013";"0,003";"0,004";"0,016";"0,005";"0,004";"0,01";"0,009";"0,004";"0,004";"0,016";"0,003";"0,004";"0,012";"0,007";"0,003";"0,008";"0,014";"0,008";"0,004";"0,017";"0,223";"0,285";"0,134";"0,194";"0,012";"0,022";"0,137";"0,481";"0,092";"0,009";"0,005";"0,008";"0,013";"0,004";"0,004";"0,017";"0,004";"0,004";"0,012";"0,009";"0,005";"0,004";"0,017";"0,004";"0,004";"0,012";"0,01";"0,004";"0,004";"0,017";"0,004";"0,005";"0,009";"0,034";"0,039";"0,445";"0,451";"0,223";"0,047";"0,046";"0,038";"0,051";"0,042";"0,044";"0,061";"0,047";"0,045";"0,022";
"13/02/2022";"0,012";"0,024";"0,009";"0,009";"0,022";"0,026";"0,049";"0,045";"0,039";"0,043";"0,041";"0,012";"0,016";"0,009";"0,008";"0,039";"0,036";"0,033";"0,043";"0,01";"0,003";"0,014";"0,005";"0,004";"0,036";"0,035";"0,032";"0,027";"0,009";"0,004";"0,008";"0,011";"0,003";"0,017";"0,042";"0,033";"0,026";"0,015";"0,004";"0,003";"0,016";"0,004";"0,003";"0,015";"0,004";"0,013";"0,043";"0,031";"0,004";"0,014";"0,006";"0,009";"0,13";"0,288";"0,09";"0,385";"0,087";"0,016";"0,005";"0,008";"0,011";"0,003";"0,012";"0,007";"0,004";"0,016";"0,021";"0,035";"0,024";"0,004";"0,01";"0,013";"0,019";"0,043";"0,062";"0,009";"0,014";"0,004";"0,006";"0,017";"0,004";"0,003";"0,014";"0,008";"0,004";"0,004";"0,018";"0,005";"0,004";"0,004";"0,016";"0,006";"0,004";"0,01";"0,045";"0,018";
"14/02/2022";"0,016";"0,008";"0,019";"0,009";"0,004";"0,006";"0,014";"0,004";"0,004";"0,01";"0,013";"0,005";"0,004";"0,016";"0,004";"0,004";"0,006";"0,014";"0,004";"0,003";"0,011";"0,01";"0,004";"0,003";"0,015";"0,006";"0,004";"0,007";"0,017";"0,004";"0,003";"0,006";"0,015";"0,004";"0,003";"0,009";"0,012";"0,004";"0,003";"0,013";"0,037";"0,032";"0,032";"0,042";"0,033";"0,032";"0,045";"0,043";"0,036";"0,043";"0,039";"0,034";"0,039";"0,038";"0,035";"0,037";"0,042";"0,016";"0,012";"0,028";"0,027";"0,049";"0,046";"0,025";"0,027";"0,039";"0,026";"0,026";"0,034";"0,04";"0,051";"0,058";"0,028";"0,014";"0,019";"0,011";"0,021";"0,059";"0,044";"0,039";"0,028";"0,03";"0,044";"0,06";"0,05";"0,054";"0,047";"0,047";"0,058";"0,046";"0,051";"0,049";"0,017";"0,021";"0,037";"0,042";
"15/02/2022";"0,05";"0,029";"0,016";"0,027";"0,016";"0,031";"0,041";"0,016";"0,019";"0,014";"0,008";"0,015";"0,005";"0,004";"0,016";"0,003";"0,004";"0,016";"0,004";"0,003";"0,016";"0,004";"0,004";"0,014";"0,005";"0,003";"0,013";"0,007";"0,004";"0,008";"0,012";"0,004";"0,003";"0,017";"0,003";"0,004";"0,014";"0,006";"0,004";"0,008";"0,012";"0,003";"0,004";"0,016";"0,004";"0,004";"0,011";"0,012";"0,007";"0,008";"0,016";"0,003";"0,004";"0,011";"0,01";"0,006";"0,009";"0,014";"0,004";"0,005";"0,015";"0,014";"0,012";"0,012";"0,016";"0,004";"0,004";"0,009";"0,011";"0,003";"0,011";"0,035";"0,027";"0,027";"0,034";"0,032";"0,028";"0,032";"0,026";"0,028";"0,373";"0,03";"0,015";"0,014";"0,019";"0,025";"0,021";"0,018";"0,063";"0,015";"0,012";"0,196";"0,231";"0,256";"0,027";"0,018";
"16/02/2022";"0,026";"0,028";"0,104";"0,381";"0,261";"0,029";"0,008";"0,008";"0,011";"0,021";"0,009";"0,007";"0,011";"0,02";"0,01";"0,004";"0,006";"0,015";"0,003";"0,004";"0,004";"0,017";"0,004";"0,004";"0,003";"0,017";"0,004";"0,004";"0,003";"0,014";"0,007";"0,004";"0,003";"0,011";"0,011";"0,021";"0,033";"0,037";"0,038";"0,032";"0,035";"0,111";"0,283";"0,225";"0,055";"0,044";"0,044";"0,051";"0,101";"0,41";"0,218";"0,032";"0,045";"0,041";"0,039";"0,052";"0,038";"0,04";"0,05";"0,041";"0,017";"0,019";"0,007";"0,015";"0,025";"0,014";"0,027";"0,015";"0,013";"0,018";"0,009";"0,014";"0,019";"0,008";"0,012";"0,019";"0,013";"0,041";"0,045";"0,009";"0,011";"0,021";"0,012";"0,018";"0,016";"0,009";"0,013";"0,018";"0,01";"0,009";"0,022";"0,01";"0,009";"0,019";"0,016";"0,012";
"17/02/2022";"0,021";"0,015";"0,009";"0,012";"0,016";"0,006";"0,009";"0,023";"0,01";"0,009";"0,017";"0,01";"0,006";"0,008";"0,013";"0,004";"0,004";"0,015";"0,005";"0,004";"0,007";"0,013";"0,004";"0,004";"0,015";"0,004";"0,004";"0,008";"0,012";"0,004";"0,004";"0,014";"0,007";"0,003";"0,008";"0,014";"0,004";"0,004";"0,012";"0,008";"0,003";"0,004";"0,017";"0,009";"0,021";"0,02";"0,04";"0,087";"0,01";"0,019";"0,004";"0,004";"0,011";"0,013";"0,003";"0,004";"0,083";"0,007";"0,003";"0,008";"0,018";"0,006";"0,006";"0,014";"0,012";"0,006";"0,006";"0,019";"0,007";"0,006";"0,011";"0,015";"0,024";"0,035";"0,045";"0,037";"0,037";"0,044";"0,038";"0,01";"0,005";"0,014";"0,004";"0,003";"0,015";"0,008";"0,006";"0,012";"0,013";"0,007";"0,006";"0,019";"0,006";"0,007";"0,015";"0,011";
"18/02/2022";"0,006";"0,01";"0,012";"0,004";"0,004";"0,016";"0,004";"0,003";"0,01";"0,01";"0,004";"0,003";"0,017";"0,004";"0,003";"0,01";"0,011";"0,003";"0,004";"0,016";"0,003";"0,004";"0,009";"0,011";"0,004";"0,004";"0,015";"0,005";"0,004";"0,005";"0,016";"0,003";"0,004";"0,011";"0,009";"0,004";"0,003";"0,017";"0,004";"0,004";"0,028";"0,025";"0,025";"0,045";"0,044";"0,039";"0,049";"0,116";"0,044";"0,057";"0,047";"0,048";"0,051";"0,043";"0,057";"0,045";"0,046";"0,048";"0,037";"0,047";"0,011";"0,01";"0,021";"0,011";"0,039";"0,046";"0,015";"0,02";"0,016";"0,012";"0,036";"0,041";"0,029";"0,025";"0,012";"0,016";"0,02";"0,012";"0,023";"0,011";"0,017";"0,014";"0,009";"0,022";"0,019";"0,369";"0,095";"0,194";"0,056";"0,051";"0,047";"0,053";"0,329";"0,365";"0,183";"0,034";
"19/02/2022";"0,021";"0,022";"0,009";"0,023";"0,019";"0,01";"0,02";"0,016";"0,007";"0,014";"0,008";"0,005";"0,015";"0,007";"0,005";"0,014";"0,007";"0,005";"0,015";"0,006";"0,004";"0,015";"0,007";"0,005";"0,012";"0,01";"0,005";"0,009";"0,012";"0,029";"0,024";"0,026";"0,007";"0,004";"0,016";"0,003";"0,004";"0,015";"0,004";"0,003";"0,015";"0,005";"0,003";"0,011";"0,009";"0,003";"0,008";"0,012";"0,003";"0,004";"0,015";"0,004";"0,003";"0,015";"0,005";"0,004";"0,008";"0,012";"0,003";"0,004";"0,016";"0,004";"0,003";"0,013";"0,007";"0,004";"0,006";"0,013";"0,004";"0,003";"0,015";"0,005";"0,003";"0,009";"0,011";"0,003";"0,004";"0,016";"0,004";"0,004";"0,012";"0,007";"0,003";"0,008";"0,012";"0,003";"0,004";"0,016";"0,004";"0,004";"0,009";"0,011";"0,003";"0,004";"0,016";"0,004";
"20/02/2022";"0,003";"0,009";"0,011";"0,003";"0,004";"0,016";"0,004";"0,003";"0,01";"0,011";"0,003";"0,004";"0,016";"0,003";"0,004";"0,008";"0,011";"0,004";"0,003";"0,016";"0,004";"0,004";"0,007";"0,012";"0,004";"0,003";"0,014";"0,006";"0,003";"0,006";"0,015";"0,003";"0,004";"0,011";"0,009";"0,003";"0,004";"0,016";"0,003";"0,004";"0,009";"0,011";"0,003";"0,004";"0,015";"0,004";"0,003";"0,013";"0,006";"0,003";"0,01";"0,009";"0,004";"0,005";"0,015";"0,003";"0,004";"0,014";"0,005";"0,004";"0,008";"0,012";"0,003";"0,004";"0,016";"0,003";"0,004";"0,012";"0,008";"0,003";"0,014";"0,006";"0,003";"0,01";"0,01";"0,003";"0,005";"0,015";"0,003";"0,004";"0,015";"0,004";"0,004";"0,009";"0,01";"0,003";"0,004";"0,016";"0,003";"0,004";"0,012";"0,008";"0,004";"0,004";"0,016";"0,003";
