Giorno;00:00-00:15;00:15-00:30;00:30-00:45;00:45-01:00;01:00-01:15;01:15-01:30;01:30-01:45;01:45-02:00;02:00-02:15;02:15-02:30;02:30-02:45;02:45-03:00;03:00-03:15;03:15-03:30;03:30-03:45;03:45-04:00;04:00-04:15;04:15-04:30;04:30-04:45;04:45-05:00;05:00-05:15;05:15-05:30;05:30-05:45;05:45-06:00;06:00-06:15;06:15-06:30;06:30-06:45;06:45-07:00;07:00-07:15;07:15-07:30;07:30-07:45;07:45-08:00;08:00-08:15;08:15-08:30;08:30-08:45;08:45-09:00;09:00-09:15;09:15-09:30;09:30-09:45;09:45-10:00;10:00-10:15;10:15-10:30;10:30-10:45;10:45-11:00;11:00-11:15;11:15-11:30;11:30-11:45;11:45-12:00;12:00-12:15;12:15-12:30;12:30-12:45;12:45-13:00;13:00-13:15;13:15-13:30;13:30-13:45;13:45-14:00;14:00-14:15;14:15-14:30;14:30-14:45;14:45-15:00;15:00-15:15;15:15-15:30;15:30-15:45;15:45-16:00;16:00-16:15;16:15-16:30;16:30-16:45;16:45-17:00;17:00-17:15;17:15-17:30;17:30-17:45;17:45-18:00;18:00-18:15;18:15-18:30;18:30-18:45;18:45-19:00;19:00-19:15;19:15-19:30;19:30-19:45;19:45-20:00;20:00-20:15;20:15-20:30;20:30-20:45;20:45-21:00;21:00-21:15;21:15-21:30;21:30-21:45;21:45-22:00;22:00-22:15;22:15-22:30;22:30-22:45;22:45-23:00;23:00-23:15;23:15-23:30;23:30-23:45;23:45-00:00
"01/03/2021";"0,005";"0,005";"0,004";"0,004";"0,019";"0,024";"0,024";"0,022";"0,023";"0,022";"0,022";"0,022";"0,021";"0,022";"0,021";"0,006";"0,004";"0,003";"0,004";"0,003";"0,004";"0,004";"0,003";"0,004";"0,003";"0,004";"0,004";"0,02";"0,024";"0,024";"0,023";"0,032";"0,035";"0,045";"0,07";"0,043";"0,044";"0,038";"0,023";"0,027";"0,028";"0,029";"0,022";"0,021";"0,02";"0,02";"0,017";"0,026";"0,027";"0,026";"0,026";"0,04";"0,054";"0,047";"0,041";"0,04";"0,038";"0,04";"0,032";"0,024";"0,025";"0,024";"0,023";"0,023";"0,024";"0,022";"0,022";"0,022";"0,024";"0,041";"0,038";"0,037";"0,042";"0,043";"0,041";"0,045";"0,046";"0,045";"0,047";"0,058";"0,059";"0,051";"0,068";"0,029";"0,029";"0,03";"0,044";"0,044";"0,037";"0,028";"0,029";"0,028";"0,039";"0,035";"0,034";"0,028";
"02/03/2021";"0,024";"0,024";"0,022";"0,022";"0,022";"0,022";"0,021";"0,021";"0,021";"0,021";"0,021";"0,021";"0,021";"0,021";"0,021";"0,021";"0,021";"0,021";"0,02";"0,021";"0,021";"0,021";"0,021";"0,021";"0,02";"0,021";"0,021";"0,02";"0,021";"0,02";"0,021";"0,02";"0,021";"0,02";"0,021";"0,02";"0,021";"0,028";"0,034";"0,04";"0,043";"0,04";"0,041";"0,068";"0,039";"0,039";"0,039";"0,037";"0,036";"0,035";"0,036";"0,035";"0,039";"0,061";"0,036";"0,038";"0,041";"0,037";"0,035";"0,035";"0,037";"0,04";"0,039";"0,039";"0,023";"0,023";"0,027";"0,022";"0,018";"0,017";"0,018";"0,018";"0,019";"0,018";"0,017";"0,016";"0,014";"0,015";"0,023";"0,039";"0,031";"0,02";"0,306";"0,49";"0,049";"0,048";"0,044";"0,036";"0,033";"0,033";"0,032";"0,031";"0,028";"0,028";"0,029";"0,034";
"03/03/2021";"0,023";"0,022";"0,022";"0,021";"0,021";"0,022";"0,021";"0,021";"0,021";"0,021";"0,022";"0,021";"0,021";"0,021";"0,021";"0,021";"0,021";"0,02";"0,021";"0,021";"0,021";"0,02";"0,021";"0,021";"0,021";"0,021";"0,02";"0,021";"0,02";"0,021";"0,02";"0,021";"0,02";"0,022";"0,041";"0,038";"0,034";"0,037";"0,035";"0,034";"0,033";"0,035";"0,035";"0,034";"0,034";"0,034";"0,039";"0,04";"0,042";"0,039";"0,036";"0,035";"0,036";"0,034";"0,034";"0,033";"0,036";"0,035";"0,034";"0,035";"0,037";"0,035";"0,034";"0,035";"0,036";"0,035";"0,037";"0,035";"0,035";"0,035";"0,036";"0,038";"0,036";"0,033";"0,026";"0,027";"0,027";"0,028";"0,021";"0,02";"0,021";"0,02";"0,02";"0,021";"0,03";"0,029";"0,035";"0,032";"0,033";"0,032";"0,031";"0,026";"0,028";"0,032";"0,03";"0,023";
"04/03/2021";"0,022";"0,021";"0,021";"0,02";"0,021";"0,02";"0,021";"0,02";"0,02";"0,021";"0,02";"0,02";"0,02";"0,021";"0,02";"0,02";"0,02";"0,021";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,021";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,021";"0,02";"0,033";"0,032";"0,036";"0,032";"0,047";"0,229";"0,076";"0,053";"0,052";"0,057";"0,042";"0,038";"0,038";"0,037";"0,037";"0,039";"0,038";"0,036";"0,034";"0,031";"0,034";"0,039";"0,035";"0,037";"0,036";"0,036";"0,037";"0,038";"0,041";"0,038";"0,038";"0,038";"0,038";"0,038";"0,038";"0,037";"0,036";"0,036";"0,037";"0,043";"0,037";"0,033";"0,035";"0,042";"0,039";"0,036";"0,031";"0,033";"0,032";"0,033";"0,035";"0,035";"0,03";"0,031";"0,028";"0,028";"0,028";
"05/03/2021";"0,028";"0,029";"0,03";"0,036";"0,025";"0,025";"0,024";"0,025";"0,024";"0,022";"0,024";"0,024";"0,023";"0,024";"0,024";"0,023";"0,022";"0,021";"0,022";"0,021";"0,022";"0,021";"0,021";"0,021";"0,021";"0,02";"0,005";"0,005";"0,005";"0,005";"0,005";"0,006";"0,005";"0,005";"0,005";"0,005";"0,005";"0,005";"0,005";"0,053";"0,06";"0,053";"0,052";"0,051";"0,048";"0,047";"0,048";"0,048";"0,047";"0,049";"0,045";"0,037";"0,045";"0,041";"0,04";"0,041";"0,04";"0,038";"0,039";"0,037";"0,044";"0,027";"0,024";"0,064";"0,023";"0,023";"0,023";"0,024";"0,026";"0,044";"0,022";"0,023";"0,022";"0,022";"0,023";"0,024";"0,026";"0,027";"0,032";"0,023";"0,022";"0,022";"0,022";"0,023";"0,022";"0,022";"0,022";"0,022";"0,021";"0,022";"0,022";"0,021";"0,022";"0,022";"0,021";"0,022";
"06/03/2021";"0,027";"0,029";"0,028";"0,03";"0,027";"0,025";"0,025";"0,024";"0,025";"0,025";"0,021";"0,022";"0,021";"0,022";"0,022";"0,021";"0,022";"0,021";"0,021";"0,022";"0,021";"0,021";"0,021";"0,021";"0,021";"0,021";"0,021";"0,021";"0,022";"0,023";"0,022";"0,022";"0,022";"0,021";"0,021";"0,021";"0,021";"0,021";"0,021";"0,021";"0,021";"0,021";"0,021";"0,021";"0,021";"0,021";"0,021";"0,021";"0,022";"0,021";"0,021";"0,021";"0,024";"0,037";"0,027";"0,028";"0,027";"0,03";"0,03";"0,029";"0,023";"0,023";"0,022";"0,021";"0,021";"0,021";"0,021";"0,025";"0,021";"0,02";"0,021";"0,007";"0,012";"0,041";"0,046";"0,055";"0,021";"0,005";"0,005";"0,005";"0,005";"0,004";"0,005";"0,005";"0,004";"0,005";"0,005";"0,004";"0,006";"0,005";"0,012";"0,033";"0,016";"0,005";"0,004";"0,008";
"07/03/2021";"0,02";"0,028";"0,028";"0,028";"0,028";"0,027";"0,026";"0,027";"0,024";"0,024";"0,023";"0,023";"0,022";"0,023";"0,023";"0,022";"0,022";"0,022";"0,021";"0,022";"0,041";"0,037";"0,022";"0,021";"0,022";"0,021";"0,021";"0,022";"0,021";"0,021";"0,023";"0,022";"0,021";"0,021";"0,021";"0,021";"0,021";"0,021";"0,021";"0,021";"0,021";"0,021";"0,021";"0,021";"0,021";"0,021";"0,026";"0,028";"0,023";"0,026";"0,021";"0,021";"0,021";"0,021";"0,022";"0,022";"0,022";"0,021";"0,021";"0,021";"0,021";"0,022";"0,021";"0,021";"0,025";"0,031";"0,027";"0,025";"0,029";"0,02";"0,02";"0,02";"0,02";"0,022";"0,05";"0,049";"0,071";"0,091";"0,074";"0,075";"0,076";"0,079";"0,078";"0,077";"0,074";"0,09";"0,091";"0,086";"0,082";"0,077";"0,073";"0,089";"0,092";"0,091";"0,087";"0,081";
"08/03/2021";"0,075";"0,074";"0,071";"0,068";"0,023";"0,022";"0,022";"0,021";"0,02";"0,022";"0,02";"0,021";"0,02";"0,02";"0,021";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,021";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,025";"0,026";"0,111";"0,531";"0,195";"0,094";"0,059";"0,052";"0,054";"0,053";"0,055";"0,061";"0,042";"0,035";"0,031";"0,031";"0,031";"0,03";"0,031";"0,031";"0,034";"0,033";"0,031";"0,033";"0,032";"0,034";"0,034";"0,032";"0,031";"0,03";"0,032";"0,033";"0,037";"0,041";"0,288";"0,389";"0,063";"0,084";"0,079";"0,079";"0,075";"0,067";"0,066";"0,07";"0,068";"0,071";"0,071";"0,07";"0,071";"0,073";"0,074";"0,053";"0,047";"0,049";"0,041";"0,025";
"09/03/2021";"0,026";"0,026";"0,05";"0,05";"0,038";"0,023";"0,022";"0,023";"0,022";"0,022";"0,022";"0,022";"0,023";"0,035";"0,05";"0,046";"0,047";"0,039";"0,022";"0,021";"0,021";"0,02";"0,02";"0,028";"0,047";"0,045";"0,047";"0,033";"0,02";"0,02";"0,021";"0,023";"0,024";"0,023";"0,044";"0,045";"0,032";"0,021";"0,023";"0,022";"0,035";"0,219";"0,049";"0,053";"0,045";"0,038";"0,031";"0,032";"0,033";"0,032";"0,031";"0,021";"0,02";"0,02";"0,02";"0,026";"0,034";"0,032";"0,033";"0,035";"0,05";"0,056";"0,053";"0,051";"0,045";"0,044";"0,039";"0,036";"0,042";"0,036";"0,037";"0,039";"0,038";"0,026";"0,025";"0,025";"0,027";"0,025";"0,026";"0,025";"0,026";"0,03";"0,059";"0,055";"0,052";"0,054";"0,051";"0,057";"0,052";"0,051";"0,052";"0,049";"0,048";"0,048";"0,049";"0,053";
"10/03/2021";"0,037";"0,028";"0,024";"0,022";"0,02";"0,021";"0,02";"0,02";"0,021";"0,024";"0,02";"0,02";"0,02";"0,02";"0,02";"0,019";"0,02";"0,02";"0,019";"0,02";"0,02";"0,019";"0,02";"0,02";"0,019";"0,02";"0,02";"0,019";"0,02";"0,02";"0,019";"0,019";"0,02";"0,02";"0,019";"0,023";"0,038";"0,05";"0,054";"0,046";"0,037";"0,02";"0,02";"0,019";"0,02";"0,02";"0,037";"0,045";"0,042";"0,039";"0,034";"0,032";"0,026";"0,028";"0,025";"0,024";"0,025";"0,029";"0,025";"0,025";"0,027";"0,025";"0,025";"0,027";"0,028";"0,025";"0,025";"0,02";"0,019";"0,02";"0,019";"0,021";"0,02";"0,019";"0,02";"0,019";"0,02";"0,023";"0,026";"0,026";"0,025";"0,023";"0,009";"0,01";"0,014";"0,015";"0,007";"0,008";"0,008";"0,007";"0,006";"0,007";"0,008";"0,008";"0,004";"0,004";
