Giorno;00:00-00:15;00:15-00:30;00:30-00:45;00:45-01:00;01:00-01:15;01:15-01:30;01:30-01:45;01:45-02:00;02:00-02:15;02:15-02:30;02:30-02:45;02:45-03:00;03:00-03:15;03:15-03:30;03:30-03:45;03:45-04:00;04:00-04:15;04:15-04:30;04:30-04:45;04:45-05:00;05:00-05:15;05:15-05:30;05:30-05:45;05:45-06:00;06:00-06:15;06:15-06:30;06:30-06:45;06:45-07:00;07:00-07:15;07:15-07:30;07:30-07:45;07:45-08:00;08:00-08:15;08:15-08:30;08:30-08:45;08:45-09:00;09:00-09:15;09:15-09:30;09:30-09:45;09:45-10:00;10:00-10:15;10:15-10:30;10:30-10:45;10:45-11:00;11:00-11:15;11:15-11:30;11:30-11:45;11:45-12:00;12:00-12:15;12:15-12:30;12:30-12:45;12:45-13:00;13:00-13:15;13:15-13:30;13:30-13:45;13:45-14:00;14:00-14:15;14:15-14:30;14:30-14:45;14:45-15:00;15:00-15:15;15:15-15:30;15:30-15:45;15:45-16:00;16:00-16:15;16:15-16:30;16:30-16:45;16:45-17:00;17:00-17:15;17:15-17:30;17:30-17:45;17:45-18:00;18:00-18:15;18:15-18:30;18:30-18:45;18:45-19:00;19:00-19:15;19:15-19:30;19:30-19:45;19:45-20:00;20:00-20:15;20:15-20:30;20:30-20:45;20:45-21:00;21:00-21:15;21:15-21:30;21:30-21:45;21:45-22:00;22:00-22:15;22:15-22:30;22:30-22:45;22:45-23:00;23:00-23:15;23:15-23:30;23:30-23:45;23:45-00:00;
"11/10/2021";"0,023";"0,005";"0,012";"0,008";"0,005";"0,015";"0,004";"0,013";"0,006";"0,006";"0,014";"0,004";"0,012";"0,007";"0,004";"0,015";"0,004";"0,011";"0,009";"0,004";"0,015";"0,004";"0,004";"0,016";"0,004";"0,008";"0,017";"0,01";"0,01";"0,009";"0,004";"0,014";"0,006";"0,004";"0,014";"0,004";"0,009";"0,02";"0,023";"0,034";"0,029";"0,029";"0,032";"0,024";"0,033";"0,017";"0,026";"0,024";"0,021";"0,037";"0,025";"0,025";"0,029";"0,018";"0,029";"0,017";"0,024";"0,021";"0,021";"0,031";"0,02";"0,025";"0,021";"0,016";"0,032";"0,019";"0,03";"0,028";"0,023";"0,032";"0,022";"0,027";"0,022";"0,021";"0,031";"0,021";"0,033";"0,028";"0,03";"0,008";"0,004";"0,016";"0,004";"0,012";"0,007";"0,004";"0,015";"0,004";"0,012";"0,007";"0,011";"0,031";"0,023";"0,027";"0,032";"0,303";
"12/10/2021";"0,062";"0,164";"0,027";"0,016";"0,015";"0,019";"0,265";"0,258";"0,007";"0,005";"0,017";"0,005";"0,008";"0,012";"0,004";"0,013";"0,009";"0,004";"0,015";"0,007";"0,004";"0,017";"0,006";"0,008";"0,019";"0,008";"0,007";"0,018";"0,006";"0,005";"0,017";"0,005";"0,007";"0,268";"0,479";"0,176";"0,125";"0,095";"0,094";"0,082";"0,178";"0,028";"0,028";"0,045";"0,024";"0,014";"0,03";"0,017";"0,014";"0,022";"0,009";"0,021";"0,014";"0,01";"0,021";"0,01";"0,025";"0,009";"0,015";"0,015";"0,01";"0,02";"0,009";"0,006";"0,013";"0,004";"0,011";"0,007";"0,004";"0,015";"0,003";"0,006";"0,013";"0,003";"0,012";"0,007";"0,004";"0,022";"0,011";"0,01";"0,01";"0,003";"0,015";"0,004";"0,005";"0,014";"0,003";"0,01";"0,01";"0,003";"0,013";"0,006";"0,004";"0,021";"0,009";"0,043";
"13/10/2021";"0,03";"0,014";"0,013";"0,005";"0,014";"0,007";"0,004";"0,016";"0,004";"0,004";"0,016";"0,003";"0,006";"0,014";"0,004";"0,006";"0,014";"0,003";"0,006";"0,014";"0,004";"0,004";"0,016";"0,004";"0,004";"0,016";"0,004";"0,004";"0,013";"0,007";"0,003";"0,01";"0,011";"0,004";"0,007";"0,016";"0,012";"0,024";"0,015";"0,01";"0,027";"0,015";"0,018";"0,025";"0,025";"0,037";"0,029";"0,024";"0,035";"0,021";"0,024";"0,03";"0,018";"0,024";"0,02";"0,017";"0,027";"0,017";"0,018";"0,026";"0,017";"0,023";"0,025";"0,024";"0,035";"0,027";"0,021";"0,029";"0,021";"0,022";"0,028";"0,017";"0,025";"0,025";"0,017";"0,028";"0,017";"0,032";"0,028";"0,026";"0,036";"0,024";"0,028";"0,031";"0,023";"0,031";"0,027";"0,023";"0,036";"0,026";"0,025";"0,035";"0,01";"0,02";"0,023";"0,01";
"14/10/2021";"0,021";"0,008";"0,006";"0,019";"0,007";"0,005";"0,017";"0,004";"0,005";"0,016";"0,004";"0,004";"0,015";"0,004";"0,004";"0,016";"0,004";"0,003";"0,016";"0,004";"0,004";"0,015";"0,004";"0,004";"0,016";"0,003";"0,004";"0,014";"0,011";"0,012";"0,03";"0,105";"0,212";"0,019";"0,004";"0,004";"0,015";"0,014";"0,018";"0,029";"0,02";"0,024";"0,026";"0,016";"0,026";"0,022";"0,024";"0,409";"0,384";"0,153";"0,107";"0,042";"0,067";"0,071";"0,039";"0,1";"0,048";"0,031";"0,033";"0,021";"0,018";"0,03";"0,018";"0,024";"0,023";"0,019";"0,029";"0,018";"0,025";"0,026";"0,021";"0,032";"0,022";"0,023";"0,015";"0,013";"0,023";"0,01";"0,014";"0,021";"0,009";"0,02";"0,007";"0,003";"0,016";"0,003";"0,008";"0,012";"0,003";"0,011";"0,008";"0,192";"0,412";"0,029";"0,025";"0,039";
"15/10/2021";"0,031";"0,035";"0,014";"0,007";"0,013";"0,011";"0,004";"0,012";"0,009";"0,004";"0,01";"0,01";"0,004";"0,007";"0,013";"0,004";"0,004";"0,016";"0,004";"0,004";"0,013";"0,008";"0,003";"0,007";"0,014";"0,004";"0,004";"0,013";"0,007";"0,004";"0,005";"0,016";"0,004";"0,004";"0,01";"0,012";"0,019";"0,026";"0,136";"0,241";"0,228";"0,029";"0,028";"0,041";"0,025";"0,109";"0,398";"0,065";"0,024";"0,026";"0,005";"0,012";"0,007";"0,003";"0,015";"0,004";"0,004";"0,015";"0,004";"0,004";"0,015";"0,003";"0,018";"0,035";"0,024";"0,024";"0,027";"0,019";"0,028";"0,028";"0,022";"0,028";"0,03";"0,019";"0,023";"0,027";"0,035";"0,04";"0,03";"0,029";"0,036";"0,025";"0,029";"0,028";"0,025";"0,025";"0,018";"0,025";"0,016";"0,024";"0,024";"0,018";"0,028";"0,014";"0,017";"0,018";
"16/10/2021";"0,005";"0,013";"0,006";"0,004";"0,016";"0,003";"0,005";"0,015";"0,003";"0,008";"0,011";"0,004";"0,009";"0,011";"0,003";"0,01";"0,01";"0,004";"0,009";"0,01";"0,004";"0,009";"0,01";"0,004";"0,009";"0,011";"0,003";"0,009";"0,011";"0,003";"0,007";"0,013";"0,004";"0,004";"0,015";"0,004";"0,004";"0,016";"0,005";"0,004";"0,014";"0,004";"0,006";"0,014";"0,008";"0,011";"0,193";"0,215";"0,025";"0,023";"0,017";"0,029";"0,019";"0,022";"0,024";"0,004";"0,011";"0,205";"0,104";"0,018";"0,005";"0,013";"0,108";"0,037";"0,015";"0,005";"0,003";"0,016";"0,004";"0,009";"0,01";"0,004";"0,014";"0,005";"0,007";"0,017";"0,007";"0,015";"0,014";"0,009";"0,02";"0,009";"0,013";"0,014";"0,006";"0,014";"0,006";"0,004";"0,016";"0,004";"0,007";"0,012";"0,004";"0,01";"0,01";"0,004";
"17/10/2021";"0,011";"0,021";"0,022";"0,029";"0,027";"0,022";"0,03";"0,031";"0,026";"0,019";"0,005";"0,004";"0,015";"0,004";"0,008";"0,018";"0,006";"0,01";"0,014";"0,005";"0,009";"0,012";"0,004";"0,008";"0,013";"0,004";"0,007";"0,012";"0,004";"0,007";"0,013";"0,004";"0,006";"0,015";"0,004";"0,005";"0,014";"0,005";"0,005";"0,014";"0,004";"0,007";"0,012";"0,004";"0,01";"0,012";"0,004";"0,016";"0,011";"0,182";"0,183";"0,275";"0,149";"0,176";"0,021";"0,014";"0,01";"0,02";"0,007";"0,011";"0,012";"0,005";"0,012";"0,008";"0,005";"0,016";"0,004";"0,005";"0,016";"0,005";"0,007";"0,013";"0,005";"0,01";"0,01";"0,005";"0,016";"0,018";"0,021";"0,014";"0,027";"0,015";"0,022";"0,008";"0,019";"0,008";"0,018";"0,012";"0,022";"0,016";"0,02";"0,017";"0,018";"0,02";"0,011";"0,02";
"18/10/2021";"0,011";"0,026";"0,007";"0,014";"0,01";"0,007";"0,014";"0,005";"0,015";"0,005";"0,007";"0,012";"0,004";"0,016";"0,004";"0,007";"0,012";"0,004";"0,015";"0,005";"0,006";"0,013";"0,003";"0,015";"0,004";"0,009";"0,014";"0,009";"0,015";"0,004";"0,007";"0,012";"0,004";"0,013";"0,006";"0,005";"0,014";"0,007";"0,015";"0,009";"0,007";"0,018";"0,006";"0,014";"0,011";"0,006";"0,018";"0,007";"0,01";"0,014";"0,007";"0,016";"0,008";"0,007";"0,018";"0,006";"0,013";"0,012";"0,006";"0,018";"0,007";"0,008";"0,017";"0,006";"0,013";"0,012";"0,007";"0,016";"0,009";"0,006";"0,018";"0,007";"0,007";"0,018";"0,007";"0,011";"0,023";"0,014";"0,019";"0,032";"0,016";"0,028";"0,016";"0,029";"0,013";"0,022";"0,017";"0,023";"0,026";"0,012";"0,022";"0,011";"0,013";"0,016";"0,007";"0,022";
"19/10/2021";"0,01";"0,007";"0,014";"0,004";"0,011";"0,008";"0,004";"0,016";"0,004";"0,004";"0,014";"0,004";"0,008";"0,011";"0,004";"0,01";"0,009";"0,004";"0,011";"0,008";"0,004";"0,013";"0,006";"0,003";"0,015";"0,005";"0,004";"0,015";"0,004";"0,004";"0,015";"0,004";"0,004";"0,015";"0,003";"0,007";"0,017";"0,006";"0,006";"0,013";"0,003";"0,211";"0,124";"0,202";"0,026";"0,016";"0,018";"0,017";"0,195";"0,309";"0,007";"0,005";"0,016";"0,005";"0,009";"0,011";"0,004";"0,014";"0,006";"0,005";"0,016";"0,004";"0,009";"0,011";"0,005";"0,013";"0,007";"0,004";"0,016";"0,005";"0,006";"0,014";"0,005";"0,01";"0,01";"0,005";"0,014";"0,013";"0,013";"0,03";"0,193";"0,195";"0,017";"0,165";"0,543";"0,172";"0,118";"0,103";"0,039";"0,021";"0,024";"0,023";"0,015";"0,026";"0,013";"0,02";
"20/10/2021";"0,02";"0,015";"0,026";"0,007";"0,012";"0,011";"0,005";"0,016";"0,004";"0,007";"0,014";"0,004";"0,011";"0,008";"0,004";"0,015";"0,004";"0,007";"0,012";"0,004";"0,013";"0,007";"0,004";"0,015";"0,004";"0,005";"0,015";"0,004";"0,008";"0,011";"0,004";"0,012";"0,007";"0,005";"0,022";"0,015";"0,019";"0,003";"0,008";"0,011";"0,004";"0,015";"0,004";"0,005";"0,014";"0,003";"0,01";"0,009";"0,004";"0,015";"0,005";"0,01";"0,009";"0,095";"0,273";"0,067";"0,381";"0,074";"0,004";"0,016";"0,005";"0,009";"0,011";"0,004";"0,015";"0,006";"0,004";"0,015";"0,005";"0,01";"0,011";"0,004";"0,014";"0,007";"0,023";"0,038";"0,029";"0,034";"0,036";"0,033";"0,042";"0,029";"0,038";"0,009";"0,006";"0,014";"0,004";"0,012";"0,011";"0,016";"0,045";"0,031";"0,037";"0,036";"0,03";"0,042";
