Giorno;00:00-00:15;00:15-00:30;00:30-00:45;00:45-01:00;01:00-01:15;01:15-01:30;01:30-01:45;01:45-02:00;02:00-02:15;02:15-02:30;02:30-02:45;02:45-03:00;03:00-03:15;03:15-03:30;03:30-03:45;03:45-04:00;04:00-04:15;04:15-04:30;04:30-04:45;04:45-05:00;05:00-05:15;05:15-05:30;05:30-05:45;05:45-06:00;06:00-06:15;06:15-06:30;06:30-06:45;06:45-07:00;07:00-07:15;07:15-07:30;07:30-07:45;07:45-08:00;08:00-08:15;08:15-08:30;08:30-08:45;08:45-09:00;09:00-09:15;09:15-09:30;09:30-09:45;09:45-10:00;10:00-10:15;10:15-10:30;10:30-10:45;10:45-11:00;11:00-11:15;11:15-11:30;11:30-11:45;11:45-12:00;12:00-12:15;12:15-12:30;12:30-12:45;12:45-13:00;13:00-13:15;13:15-13:30;13:30-13:45;13:45-14:00;14:00-14:15;14:15-14:30;14:30-14:45;14:45-15:00;15:00-15:15;15:15-15:30;15:30-15:45;15:45-16:00;16:00-16:15;16:15-16:30;16:30-16:45;16:45-17:00;17:00-17:15;17:15-17:30;17:30-17:45;17:45-18:00;18:00-18:15;18:15-18:30;18:30-18:45;18:45-19:00;19:00-19:15;19:15-19:30;19:30-19:45;19:45-20:00;20:00-20:15;20:15-20:30;20:30-20:45;20:45-21:00;21:00-21:15;21:15-21:30;21:30-21:45;21:45-22:00;22:00-22:15;22:15-22:30;22:30-22:45;22:45-23:00;23:00-23:15;23:15-23:30;23:30-23:45;23:45-00:00;
"11/11/2021";"0,034";"0,034";"0,045";"0,034";"0,033";"0,046";"0,033";"0,025";"0,016";"0,004";"0,003";"0,012";"0,008";"0,004";"0,008";"0,011";"0,004";"0,004";"0,016";"0,004";"0,004";"0,013";"0,007";"0,003";"0,008";"0,012";"0,003";"0,004";"0,016";"0,004";"0,004";"0,012";"0,008";"0,003";"0,006";"0,014";"0,005";"0,01";"0,046";"0,04";"0,043";"0,047";"0,041";"0,373";"0,23";"0,091";"0,074";"0,06";"0,056";"0,056";"0,404";"0,293";"0,086";"0,054";"0,053";"0,254";"0,316";"0,052";"0,056";"0,049";"0,044";"0,05";"0,05";"0,049";"0,04";"0,04";"0,032";"0,043";"0,032";"0,043";"0,033";"0,037";"0,038";"0,032";"0,043";"0,034";"0,045";"0,04";"0,04";"0,04";"0,014";"0,014";"0,004";"0,012";"0,006";"0,007";"0,021";"0,009";"0,017";"0,036";"0,03";"0,043";"0,031";"0,038";"0,039";"0,032";
"12/11/2021";"0,041";"0,028";"0,034";"0,033";"0,027";"0,037";"0,026";"0,03";"0,033";"0,025";"0,035";"0,026";"0,025";"0,037";"0,025";"0,029";"0,033";"0,025";"0,033";"0,027";"0,025";"0,037";"0,025";"0,025";"0,035";"0,026";"0,028";"0,033";"0,026";"0,03";"0,031";"0,025";"0,031";"0,017";"0,161";"0,191";"0,203";"0,025";"0,017";"0,015";"0,021";"0,15";"0,379";"0,132";"0,005";"0,013";"0,008";"0,004";"0,016";"0,004";"0,004";"0,016";"0,004";"0,014";"0,007";"0,004";"0,014";"0,004";"0,009";"0,01";"0,004";"0,012";"0,01";"0,006";"0,018";"0,003";"0,007";"0,012";"0,004";"0,01";"0,01";"0,004";"0,01";"0,009";"0,004";"0,01";"0,009";"0,004";"0,01";"0,009";"0,004";"0,009";"0,011";"0,009";"0,016";"0,02";"0,011";"0,022";"0,041";"0,033";"0,035";"0,041";"0,032";"0,037";"0,04";"0,036";
"13/11/2021";"0,042";"0,044";"0,041";"0,047";"0,043";"0,039";"0,05";"0,041";"0,04";"0,051";"0,043";"0,042";"0,054";"0,043";"0,042";"0,051";"0,024";"0,016";"0,016";"0,004";"0,007";"0,011";"0,004";"0,009";"0,011";"0,003";"0,009";"0,01";"0,004";"0,009";"0,01";"0,003";"0,009";"0,011";"0,004";"0,006";"0,013";"0,004";"0,005";"0,014";"0,004";"0,004";"0,015";"0,004";"0,003";"0,016";"0,004";"0,004";"0,016";"0,004";"0,003";"0,016";"0,007";"0,016";"0,043";"0,03";"0,034";"0,031";"0,023";"0,035";"0,023";"0,025";"0,032";"0,022";"0,159";"0,279";"0,14";"0,415";"0,104";"0,085";"0,011";"0,005";"0,014";"0,006";"0,004";"0,017";"0,004";"0,006";"0,015";"0,004";"0,008";"0,013";"0,005";"0,009";"0,013";"0,004";"0,008";"0,013";"0,004";"0,009";"0,012";"0,004";"0,008";"0,014";"0,004";"0,004";
"14/11/2021";"0,017";"0,005";"0,004";"0,031";"0,039";"0,033";"0,03";"0,008";"0,007";"0,015";"0,004";"0,004";"0,015";"0,004";"0,004";"0,016";"0,003";"0,004";"0,015";"0,004";"0,004";"0,016";"0,011";"0,009";"0,011";"0,009";"0,004";"0,007";"0,012";"0,004";"0,004";"0,016";"0,004";"0,004";"0,015";"0,005";"0,004";"0,011";"0,008";"0,004";"0,009";"0,011";"0,004";"0,005";"0,013";"0,004";"0,004";"0,016";"0,004";"0,015";"0,041";"0,025";"0,027";"0,038";"0,028";"0,035";"0,036";"0,039";"0,063";"0,069";"0,06";"0,066";"0,057";"0,024";"0,017";"0,008";"0,017";"0,007";"0,005";"0,015";"0,004";"0,006";"0,013";"0,004";"0,009";"0,01";"0,004";"0,013";"0,007";"0,003";"0,015";"0,005";"0,02";"0,025";"0,029";"0,03";"0,022";"0,021";"0,034";"0,022";"0,024";"0,031";"0,021";"0,026";"0,028";"0,021";
"15/11/2021";"0,039";"0,029";"0,032";"0,036";"0,045";"0,042";"0,054";"0,043";"0,044";"0,052";"0,043";"0,046";"0,051";"0,043";"0,046";"0,051";"0,042";"0,046";"0,051";"0,009";"0,01";"0,01";"0,003";"0,01";"0,01";"0,004";"0,008";"0,011";"0,004";"0,007";"0,014";"0,004";"0,004";"0,016";"0,004";"0,004";"0,013";"0,007";"0,004";"0,008";"0,012";"0,003";"0,005";"0,015";"0,004";"0,004";"0,015";"0,005";"0,004";"0,01";"0,01";"0,004";"0,004";"0,016";"0,004";"0,003";"0,016";"0,005";"0,004";"0,017";"0,02";"0,036";"0,033";"0,028";"0,036";"0,027";"0,028";"0,127";"0,342";"0,109";"0,436";"0,168";"0,068";"0,06";"0,066";"0,057";"0,064";"0,276";"0,557";"0,157";"0,055";"0,074";"0,069";"0,065";"0,074";"0,058";"0,06";"0,07";"0,076";"0,086";"0,054";"0,045";"0,058";"0,039";"0,023";"0,033";
"16/11/2021";"0,022";"0,026";"0,049";"0,035";"0,02";"0,013";"0,004";"0,01";"0,01";"0,004";"0,01";"0,009";"0,004";"0,01";"0,01";"0,003";"0,009";"0,012";"0,004";"0,005";"0,015";"0,003";"0,004";"0,016";"0,004";"0,004";"0,015";"0,005";"0,003";"0,014";"0,006";"0,004";"0,01";"0,01";"0,003";"0,007";"0,013";"0,004";"0,011";"0,042";"0,028";"0,033";"0,033";"0,027";"0,038";"0,026";"0,029";"0,034";"0,027";"0,034";"0,029";"0,026";"0,037";"0,026";"0,026";"0,038";"0,026";"0,027";"0,035";"0,025";"0,033";"0,029";"0,042";"0,055";"0,044";"0,043";"0,055";"0,043";"0,044";"0,057";"0,047";"0,025";"0,032";"0,013";"0,028";"0,011";"0,014";"0,016";"0,01";"0,022";"0,008";"0,003";"0,016";"0,004";"0,003";"0,016";"0,004";"0,003";"0,017";"0,003";"0,004";"0,021";"0,013";"0,022";"0,025";"0,007";
"17/11/2021";"0,016";"0,009";"0,007";"0,016";"0,007";"0,004";"0,016";"0,005";"0,004";"0,015";"0,005";"0,004";"0,014";"0,005";"0,004";"0,013";"0,007";"0,004";"0,011";"0,009";"0,004";"0,007";"0,013";"0,004";"0,003";"0,017";"0,003";"0,004";"0,015";"0,004";"0,004";"0,012";"0,008";"0,004";"0,008";"0,018";"0,003";"0,011";"0,008";"0,006";"0,41";"0,151";"0,035";"0,053";"0,039";"0,045";"0,268";"0,184";"0,189";"0,344";"0,083";"0,015";"0,005";"0,009";"0,011";"0,004";"0,013";"0,008";"0,004";"0,015";"0,006";"0,004";"0,016";"0,005";"0,004";"0,035";"0,027";"0,028";"0,036";"0,004";"0,005";"0,016";"0,005";"0,009";"0,031";"0,04";"0,04";"0,074";"0,065";"0,1";"0,497";"0,401";"0,262";"0,046";"0,049";"0,054";"0,043";"0,055";"0,051";"0,048";"0,058";"0,046";"0,048";"0,053";"0,04";"0,05";
"18/11/2021";"0,034";"0,007";"0,012";"0,004";"0,009";"0,01";"0,004";"0,01";"0,009";"0,004";"0,01";"0,009";"0,004";"0,009";"0,01";"0,004";"0,007";"0,013";"0,004";"0,004";"0,015";"0,004";"0,004";"0,016";"0,004";"0,004";"0,012";"0,007";"0,004";"0,008";"0,012";"0,004";"0,004";"0,016";"0,004";"0,003";"0,031";"0,222";"0,183";"0,045";"0,029";"0,028";"0,041";"0,028";"0,028";"0,04";"0,03";"0,028";"0,037";"0,025";"0,026";"0,105";"0,348";"0,074";"0,408";"0,182";"0,018";"0,008";"0,015";"0,009";"0,006";"0,017";"0,007";"0,01";"0,014";"0,006";"0,015";"0,009";"0,005";"0,017";"0,005";"0,006";"0,029";"0,013";"0,02";"0,019";"0,012";"0,022";"0,014";"0,012";"0,027";"0,004";"0,006";"0,013";"0,003";"0,009";"0,011";"0,003";"0,01";"0,01";"0,004";"0,022";"0,037";"0,029";"0,019";"0,007";
"19/11/2021";"0,007";"0,018";"0,007";"0,008";"0,018";"0,009";"0,013";"0,01";"0,006";"0,025";"0,011";"0,004";"0,015";"0,004";"0,004";"0,016";"0,004";"0,003";"0,016";"0,004";"0,004";"0,013";"0,006";"0,004";"0,011";"0,009";"0,004";"0,006";"0,014";"0,004";"0,004";"0,015";"0,004";"0,004";"0,015";"0,004";"0,004";"0,01";"0,01";"0,004";"0,005";"0,015";"0,004";"0,003";"0,017";"0,006";"0,007";"0,023";"0,367";"0,022";"0,026";"0,014";"0,015";"0,027";"0,015";"0,021";"0,027";"0,017";"0,014";"0,023";"0,008";"0,004";"0,009";"0,012";"0,006";"0,01";"0,017";"0,007";"0,01";"0,022";"0,011";"0,01";"0,016";"0,015";"0,01";"0,012";"0,02";"0,01";"0,009";"0,024";"0,026";"0,025";"0,033";"0,041";"0,015";"0,011";"0,02";"0,008";"0,006";"0,017";"0,005";"0,004";"0,011";"0,009";"0,004";"0,009";
"20/11/2021";"0,011";"0,004";"0,004";"0,016";"0,006";"0,011";"0,021";"0,011";"0,01";"0,015";"0,018";"0,01";"0,01";"0,021";"0,01";"0,01";"0,02";"0,021";"0,008";"0,007";"0,013";"0,004";"0,003";"0,017";"0,004";"0,004";"0,012";"0,008";"0,004";"0,006";"0,014";"0,003";"0,004";"0,016";"0,004";"0,003";"0,011";"0,01";"0,004";"0,003";"0,017";"0,004";"0,004";"0,011";"0,008";"0,004";"0,006";"0,014";"0,004";"0,004";"0,016";"0,004";"0,004";"0,011";"0,009";"0,003";"0,007";"0,022";"0,01";"0,012";"0,021";"0,004";"0,004";"0,013";"0,007";"0,003";"0,01";"0,01";"0,004";"0,004";"0,016";"0,004";"0,004";"0,015";"0,004";"0,004";"0,011";"0,009";"0,004";"0,006";"0,014";"0,004";"0,003";"0,017";"0,003";"0,004";"0,011";"0,01";"0,004";"0,004";"0,016";"0,004";"0,004";"0,014";"0,006";"0,004";
